소재지(시군구)별(1),면적 (㎡)
서울특별시,605204048
부산광역시  (2600000000),771309562
대구광역시  (2700000000),1499473159
대전광역시  (3000000000),539779480
세종특별자치시  (3611000000),464962321
인천광역시,1066000000
광주광역시,500900000
울산광역시,1057000000
경기도 부천시,53450000
경기도 안양시,58460000
경기도 남양주시,458129781
경기도 화성시,700641505
경기도 평택시,458448425
경기도 의정부시,81548719
경기도 시흥시,139936380
경기도 파주시,673955434
경기도 광명시,38521193
경기도 김포시,276596410
경기도 군포시,36418523
경기도 광주시,430988339
경기도 이천시,461464932
경기도 양주시,310487152
경기도 오산시,42691585
경기도 구리시,33338734
경기도 안성시,553508059
경기도 포천시,827165750
경기도 의왕시,54031241
경기도 하남시,92985348
경기도 여주시,608207926
경기도 양평군,877819527
경기도 동두천시,95673631
경기도 과천시,35871399
경기도 가평군,842821967
경기도 연천군,677938351
강원도 춘천시 (4211000000),1116415790
강원도 원주시 (4213000000),868285193
강원도 강릉시 (4215000000),1040827452
강원도 동해시 (4217000000),180307720
강원도 태백시 (4219000000),303438430
강원도 속초시 (4221000000),105753668
강원도 삼척시 (4223000000),1187836731
강원도 홍천군 (4272000000),1820572725
강원도 횡성군 (4273000000),998002198
강원도 영월군 (4275000000),1127407716
강원도 평창군 (4276000000),1464257650
강원도 정선군 (4277000000),1219781217
강원도 철원군 (4278000000),890129729
강원도 화천군 (4279000000),909094534
강원도 양구군 (4280000000),661991731
강원도 인제군 (4281000000),1646197570
강원도 고성군 (4282000000),660766517
강원도 양양군 (4283000000),629777062
충청북도 충주시 (4313000000),983257128
충청북도 제천시 (4315000000),882770986
충청북도 보은군 (4372000000),584262404
충청북도 옥천군 (4373000000),537283279
충청북도 영동군 (4374000000),846906529
충청북도 진천군 (4375000000),407384402
충청북도 괴산군 (4376000000),842010689
충청북도 음성군 (4377000000),520122614
충청북도 단양군 (4380000000),780153233
충청북도 증평군 (4374500000),81802888
충청남도 공주시 (4415000000),864163705
충청남도 보령시 (4418000000),586861162
충청남도 아산시 (4420000000),542798394
충청남도 서산시 (4421000000),742278703
충청남도 논산시 (4423000000),556254933
충청남도 계룡시 (4425000000),60694409
충청남도 당진시 (4427000000),705624210
충청남도 금산군 (4471000000),577213108
충청남도 부여군 (4476000000),624654252
충청남도 서천군 (4477000000),366124031
충청남도 청양군 (4479000000),479251284
충청남도 홍성군 (4480000000),446693932
충청남도 예산군 (4481000000),542721278
충청남도 태안군 (4482500000),516049294
전라북도 군산시 (4513000000),398018932
전라북도 익산시 (4514000000),506591806
전라북도 정읍시 (4518000000),693295824
전라북도 남원시 (4519000000),752092750
전라북도 김제시 (4521000000),545983699
전라북도 완주군 (4571000000),821380180
전라북도 진안군 (4572000000),789137228
전라북도 무주군 (4573000000),632062894
전라북도 장수군 (4574000000),533184425
전라북도 임실군 (4575000000),597166640
전라북도 순창군 (4577000000),495930528
전라북도 고창군 (4579000000),607482137
전라북도 부안군 (4580000000),495002216
전라남도 목포시 (4611000000),51729837
전라남도 여수시 (4613000000),512334189
전라남도 순천시 (4615000000),911038484
전라남도 나주시 (4617000000),608493768
전라남도 광양시 (4623000000),464863829
전라남도 담양군 (4671000000),455073505
전라남도 곡성군 (4672000000),547292831
전라남도 구례군 (4673000000),442964540
전라남도 고흥군 (4677000000),807174092
전라남도 보성군 (4678000000),664594629
전라남도 화순군 (4679000000),787170150
전라남도 장흥군 (4680000000),622375633
전라남도 강진군 (4681000000),500897663
전라남도 해남군 (4682000000),1045132648
전라남도 영암군 (4683000000),612430504
전라남도 무안군 (4684000000),450939983
전라남도 함평군 (4686000000),392097683
전라남도 영광군 (4687000000),474545557
전라남도 장성군 (4688000000),518347005
전라남도 완도군 (4689000000),396868130
전라남도 진도군 (4690000000),440110824
전라남도 신안군 (4691000000),655856943
경상북도 경주시 (4713000000),1324948414
경상북도 김천시 (4715000000),1010054406
경상북도 안동시 (4717000000),1522271744
경상북도 구미시 (4719000000),615479866
경상북도 영주시 (4721000000),670166758
경상북도 영천시 (4723000000),919226367
경상북도 상주시 (4725000000),1254706162
경상북도 문경시 (4728000000),912054170
경상북도 경산시 (4729000000),411878440
경상북도 의성군 (4773000000),1174594308
경상북도 청송군 (4775000000),846133992
경상북도 영양군 (4776000000),815865458
경상북도 영덕군 (4777000000),741281609
경상북도 청도군 (4782000000),695363051
경상북도 고령군 (4783000000),384244164
경상북도 성주군 (4784000000),616151987
경상북도 칠곡군 (4785000000),451047871
경상북도 예천군 (4790000000),661580584
경상북도 봉화군 (4792000000),1202700459
경상북도 울진군 (4793000000),990632985
경상북도 울릉군 (4794000000),73033525
경상남도 진주시 (4817000000),712939424
경상남도 통영시 (4822000000),239914759
경상남도 사천시 (4824000000),398823815
경상남도 김해시 (4825000000),463545861
경상남도 밀양시 (4827000000),798694988
경상남도 거제시 (4831000000),403875203
경상남도 양산시 (4833000000),485703041
경상남도 의령군 (4872000000),482914212
경상남도 함안군 (4873000000),416612195
경상남도 창녕군 (4874000000),532666197
경상남도 고성군 (4882000000),518022863
경상남도 남해군 (4884000000),357780917
경상남도 하동군 (4885000000),675301160
경상남도 산청군 (4886000000),794712475
경상남도 함양군 (4887000000),724725423
경상남도 거창군 (4888000000),803956583
경상남도 합천군 (4889000000),983118402
제주특별자치도 제주시 (5011000000),978767273
제주특별자치도 서귀포시 (5013000000),871506292
경기도 수원시,33333333
경기도 성남시,46000000
경기도 안산시,57990000
경기도 고양시,165550000
경기도 용인시,467600000
충청북도 청주시,403760000
충청남도 천안시,438390000
경상북도 포항시,393930000
경상남도 창원시,211220000
전라북도 전주시,94650000
