지역,사업장 수(1종),사업장 수(2종),사업장 수(3종),배출구 수(1종),배출구 수(2종),배출구 수(3종),방지시설 수(1종),방지시설 수(2종),방지시설 수(3종),배출시설 수(1종),배출시설 수(2종),배출시설 수(3종)
강원도 강릉,3.0,1.0,7.0,202.0,1.0,21.0,214.0,4.0,43.0,211.0,4.0,44.0
강원도 고성,1.0,,3.0,1.0,,27.0,3.0,,19.0,1.0,,47.0
강원도 동해,4.0,2.0,1.0,180.0,43.0,1.0,202.0,35.0,1.0,238.0,97.0,1.0
강원도 삼척,2.0,2.0,3.0,279.0,21.0,9.0,279.0,22.0,9.0,296.0,38.0,17.0
강원도 속초,1.0,,,1.0,,,3.0,,,1.0,,
강원도 양구군,1.0,,1.0,1.0,,4.0,3.0,,4.0,1.0,,4.0
강원도 양양,1.0,,3.0,1.0,,19.0,3.0,,16.0,1.0,,22.0
강원도 영월,8.0,4.0,3.0,198.0,18.0,15.0,240.0,23.0,25.0,374.0,39.0,67.0
강원도 원주,4.0,6.0,11.0,158.0,73.0,109.0,119.0,75.0,109.0,294.0,161.0,243.0
강원도 인제,1.0,,2.0,1.0,,4.0,4.0,,6.0,1.0,,6.0
강원도 정선,4.0,3.0,4.0,58.0,8.0,91.0,64.0,11.0,104.0,129.0,16.0,126.0
강원도 철원,1.0,3.0,,1.0,8.0,,2.0,12.0,,1.0,15.0,
강원도 춘천,2.0,,3.0,5.0,,42.0,23.0,,49.0,5.0,,62.0
강원도 태백,1.0,2.0,,1.0,4.0,,5.0,7.0,,2.0,5.0,
강원도 평창,1.0,1.0,1.0,27.0,111.0,2.0,33.0,97.0,2.0,66.0,854.0,6.0
강원도 홍천,3.0,1.0,3.0,24.0,102.0,16.0,30.0,102.0,28.0,34.0,102.0,35.0
강원도 화천,1.0,1.0,,1.0,3.0,,3.0,5.0,,1.0,5.0,
강원도 횡성,1.0,4.0,6.0,1.0,85.0,62.0,4.0,97.0,91.0,1.0,115.0,124.0
경기도 가평,2.0,,,18.0,,,21.0,,,38.0,,
경기도 과천,1.0,,,6.0,,,7.0,,,6.0,,
경기도 광명,3.0,,1.0,119.0,,1.0,73.0,,1.0,140.0,,5.0
경기도 광주,4.0,2.0,2.0,10.0,16.0,15.0,17.0,18.0,22.0,13.0,21.0,35.0
경기도 구리,2.0,,1.0,8.0,,9.0,17.0,,9.0,12.0,,9.0
경기도 군포,2.0,2.0,,80.0,55.0,,37.0,27.0,,232.0,112.0,
경기도 김포,2.0,1.0,13.0,15.0,25.0,97.0,25.0,16.0,102.0,43.0,58.0,257.0
경기도 남양주,3.0,,,16.0,,,21.0,,,28.0,,
경기도 동두천,3.0,6.0,5.0,10.0,35.0,19.0,32.0,43.0,17.0,10.0,43.0,38.0
경기도 시흥,11.0,13.0,29.0,214.0,371.0,229.0,223.0,364.0,236.0,633.0,901.0,818.0
경기도 안성,8.0,9.0,17.0,167.0,132.0,281.0,149.0,101.0,261.0,258.0,205.0,959.0
경기도 양주,16.0,6.0,22.0,57.0,32.0,167.0,110.0,49.0,186.0,77.0,52.0,447.0
경기도 양평,1.0,,,1.0,,,6.0,,,2.0,,
경기도 여주,7.0,4.0,10.0,189.0,44.0,68.0,228.0,47.0,68.0,350.0,180.0,126.0
경기도 연천,8.0,2.0,4.0,28.0,6.0,11.0,59.0,12.0,18.0,36.0,10.0,33.0
경기도 오산,4.0,3.0,3.0,14.0,94.0,14.0,29.0,103.0,16.0,14.0,369.0,72.0
경기도 의왕,1.0,1.0,2.0,15.0,21.0,5.0,18.0,16.0,9.0,28.0,45.0,19.0
경기도 의정부,1.0,,1.0,2.0,,12.0,6.0,,,2.0,,12.0
경기도 이천,11.0,3.0,2.0,429.0,67.0,28.0,472.0,48.0,22.0,968.0,87.0,36.0
경기도 파주,10.0,5.0,11.0,159.0,28.0,61.0,268.0,32.0,52.0,761.0,272.0,693.0
경기도 평택,23.0,20.0,27.0,1033.0,353.0,419.0,1116.0,349.0,316.0,8848.0,1522.0,1879.0
경기도 포천,18.0,4.0,12.0,96.0,20.0,81.0,151.0,34.0,69.0,125.0,20.0,127.0
경기도 하남,3.0,,,8.0,,,14.0,,,16.0,,
경기도 화성,18.0,9.0,34.0,830.0,237.0,373.0,1086.0,214.0,429.0,4153.0,651.0,2107.0
경상남도 거제,7.0,2.0,5.0,287.0,7.0,44.0,394.0,8.0,30.0,427.0,7.0,56.0
경상남도 거창,2.0,,,7.0,,,11.0,,,9.0,,
경상남도 고성,8.0,4.0,4.0,157.0,27.0,35.0,200.0,37.0,52.0,191.0,25.0,58.0
경상남도 김해,14.0,35.0,65.0,114.0,353.0,507.0,124.0,415.0,443.0,216.0,568.0,1029.0
경상남도 밀양,3.0,9.0,14.0,37.0,98.0,198.0,36.0,117.0,256.0,53.0,219.0,272.0
