행정구역,2020년04월_총인구수,2020년04월_세대수,2020년04월_세대당 인구,2020년04월_남자 인구수,2020년04월_여자 인구수,2020년04월_남여 비율
서울특별시  (1100000000),"9,726,787","4,361,645",2.23,"4,737,843","4,988,944",0.95
부산광역시  (2600000000),"3,408,347","1,507,504",2.26,"1,671,199","1,737,148",0.96
대구광역시  (2700000000),"2,431,523","1,041,932",2.33,"1,200,899","1,230,624",0.98
인천광역시  (2800000000),"2,950,972","1,246,255",2.37,"1,478,916","1,472,056",1
광주광역시  (2900000000),"1,456,096","622,374",2.34,"720,536","735,560",0.98
대전광역시  (3000000000),"1,471,650","640,500",2.3,"734,902","736,748",1
울산광역시  (3100000000),"1,144,098","471,153",2.43,"587,902","556,196",1.06
세종특별자치시  (3600000000),"345,216","137,500",2.51,"172,176","173,040",1
경기도 수원시 (4111000000),"1,192,622","501,215",2.38,"600,616","592,006",1.01
경기도 성남시 (4113000000),"941,527","402,179",2.34,"466,119","475,408",0.98
경기도 의정부시 (4115000000),"454,222","193,333",2.35,"223,765","230,457",0.97
경기도 안양시 (4117000000),"561,069","221,427",2.53,"277,727","283,342",0.98
경기도 부천시 (4119000000),"826,845","341,258",2.42,"410,678","416,167",0.99
경기도 광명시 (4121000000),"315,745","126,216",2.5,"155,900","159,845",0.98
경기도 평택시 (4122000000),"520,649","231,092",2.25,"268,331","252,318",1.06
경기도 동두천시 (4125000000),"94,191","43,024",2.19,"47,015","47,176",1
경기도 안산시 (4127000000),"653,575","280,318",2.33,"335,033","318,542",1.05
경기도 고양시 (4128000000),"1,074,853","438,900",2.45,"526,681","548,172",0.96
경기도 과천시 (4129000000),"59,687","21,957",2.72,"29,341","30,346",0.97
경기도 구리시 (4131000000),"199,018","80,585",2.47,"98,816","100,202",0.99
경기도 남양주시 (4136000000),"706,069","279,137",2.53,"351,837","354,232",0.99
경기도 오산시 (4137000000),"227,550","96,525",2.36,"117,610","109,940",1.07
경기도 시흥시 (4139000000),"478,464","197,801",2.42,"250,312","228,152",1.1
경기도 군포시 (4141000000),"275,954","110,974",2.49,"137,034","138,920",0.99
경기도 의왕시 (4143000000),"164,701","63,690",2.59,"82,049","82,652",0.99
경기도 하남시 (4145000000),"279,621","119,929",2.33,"140,443","139,178",1.01
경기도 용인시 (4146000000),"1,068,519","412,683",2.59,"530,251","538,268",0.99
경기도 파주시 (4148000000),"455,262","192,716",2.36,"231,142","224,120",1.03
경기도 이천시 (4150000000),"216,844","94,112",2.3,"111,858","104,986",1.07
경기도 안성시 (4155000000),"184,211","82,794",2.22,"94,781","89,430",1.06
경기도 김포시 (4157000000),"445,425","178,668",2.49,"223,443","221,982",1.01
경기도 화성시 (4159000000),"831,888","335,727",2.48,"431,049","400,839",1.08
경기도 광주시 (4161000000),"375,561","158,741",2.37,"192,208","183,353",1.05
경기도 양주시 (4163000000),"224,524","94,279",2.38,"113,980","110,544",1.03
경기도 포천시 (4165000000),"148,144","70,356",2.11,"78,234","69,910",1.12
경기도 여주시 (4167000000),"111,198","50,685",2.19,"56,492","54,706",1.03
경기도 연천군 (4180000000),"43,618","21,709",2.01,"22,882","20,736",1.1
경기도 가평군 (4182000000),"62,397","30,951",2.02,"32,067","30,330",1.06
경기도 양평군 (4183000000),"117,301","56,282",2.08,"58,837","58,464",1.01
강원도 춘천시 (4211000000),"281,492","124,032",2.27,"138,867","142,625",0.97
강원도 원주시 (4213000000),"351,421","156,579",2.24,"174,467","176,954",0.99
강원도 강릉시 (4215000000),"213,037","99,618",2.14,"105,639","107,398",0.98
강원도 동해시 (4217000000),"90,233","41,413",2.18,"45,698","44,535",1.03
강원도 태백시 (4219000000),"43,251","21,579",2,"21,856","21,395",1.02
강원도 속초시 (4221000000),"81,713","38,830",2.1,"40,393","41,320",0.98
강원도 삼척시 (4223000000),"65,887","33,492",1.97,"33,402","32,485",1.03
강원도 홍천군 (4272000000),"68,688","33,283",2.06,"35,194","33,494",1.05
강원도 횡성군 (4273000000),"46,232","22,873",2.02,"23,669","22,563",1.05
강원도 영월군 (4275000000),"38,762","21,010",1.84,"20,002","18,760",1.07
강원도 평창군 (4276000000),"41,758","21,359",1.96,"21,394","20,364",1.05
강원도 정선군 (4277000000),"37,036","19,995",1.85,"19,232","17,804",1.08
강원도 철원군 (4278000000),"45,093","21,113",2.14,"23,476","21,617",1.09
강원도 화천군 (4279000000),"24,627","12,506",1.97,"13,318","11,309",1.18
강원도 양구군 (4280000000),"22,375","10,679",2.1,"11,801","10,574",1.12
강원도 인제군 (4281000000),"31,506","15,649",2.01,"17,027","14,479",1.18
강원도 고성군 (4282000000),"26,959","14,422",1.87,"13,926","13,033",1.07
강원도 양양군 (4283000000),"27,710","14,141",1.96,"14,107","13,603",1.04
충청북도 청주시 (4311000000),"840,938","364,344",2.31,"423,544","417,394",1.01
충청북도 충주시 (4313000000),"210,188","96,185",2.19,"106,310","103,878",1.02
충청북도 제천시 (4315000000),"133,638","63,273",2.11,"67,030","66,608",1.01
충청북도 보은군 (4372000000),"32,699","16,739",1.95,"16,465","16,234",1.01
충청북도 옥천군 (4373000000),"50,778","24,075",2.11,"25,608","25,170",1.02
충청북도 영동군 (4374000000),"47,963","24,291",1.97,"23,828","24,135",0.99
충청북도 증평군 (4374500000),"37,320","17,386",2.15,"19,357","17,963",1.08
충청북도 진천군 (4375000000),"81,483","37,697",2.16,"42,652","38,831",1.1
