지역,총의료기관수,인구수,면적_km2,고령인구비율,인구10k명당_의료기관수,면적1km2당_의료기관수,인구기준점수,면적기준점수,고령기준점수,실제취약지역,의료접근_최종점수,예측취약지역
서울특별시,10422.0,9726787,605.204048,15.3,10.714740643544472,17.220638286279275,0.6365036185776587,1.0,0.786624203821656,0,0.797,False
부산광역시,2856.0,3408347,771.309562,18.3,8.379428503025073,3.7027934576545545,0.4798026969082694,0.21454966914484092,0.6910828025477707,0,0.573,False
대구광역시,2188.0,2431523,1499.473159,15.7,8.998475441112422,1.4591791702754981,0.5213411379893516,0.08418513199602017,0.7738853503184713,0,0.613,False
인천광역시,1973.0,2950972,1066.0,13.1,6.685932635077527,1.8508442776735459,0.36616805306504363,0.10694271592232686,0.856687898089172,0,0.644,False
광주광역시,1188.0,1456096,500.9,13.5,8.15880271630442,2.371730884408066,0.46499856707769727,0.13720867642006057,0.8439490445859872,0,0.658,False
대전광역시,1215.0,1471650,539.77948,13.6,8.256039139741107,2.250919208710935,0.4715231925904884,0.13018895013599052,0.8407643312101911,0,0.656,False
울산광역시,707.0,1144098,1057.0,11.6,6.179540563832818,0.6688741721854304,0.33218882480116446,0.038264696446126144,0.9044585987261147,0,0.658,False
세종특별자치시,252.0,345216,464.962321,9.4,7.2997775305895445,0.5419794005200693,0.4073574337991281,0.030891513690152167,0.9745222929936306,0,0.715,False
경기도 의정부시,325.0,454222,81.548719,14.5,7.155091563156342,3.9853477036224194,0.39764891387323603,0.2309673991005833,0.8121019108280254,0,0.641,False
경기도 부천시,585.0,826845,53.45,12.7,7.07508662445803,10.944808231992516,0.39228053188497636,0.635344771668622,0.8694267515923567,0,0.746,False
경기도 광명시,242.0,315745,38.521193,13.2,7.664412738127287,6.2822561076963535,0.4318246868497481,0.3644285749607751,0.8535031847133758,0,0.697,False
경기도 평택시,353.0,520649,458.448425,12.1,6.779999577450451,0.7699884670778399,0.37248000439381984,0.04413991230962331,0.8885350318471338,0,0.655,False
경기도 동두천시,45.0,94191,95.673631,19.4,4.77752651527216,0.47034903483489615,0.238112795395509,0.026729452715198714,0.6560509554140128,1,0.476,True
경기도 과천시,54.0,59687,35.871399,13.9,9.047196206879219,1.505377585078296,0.5246103321872619,0.08686947707113175,0.8312101910828025,0,0.651,False
경기도 구리시,178.0,199018,33.338734,12.8,8.94391462078807,5.339134953354857,0.5176800724369057,0.3096288023560918,0.8662420382165604,0,0.711,False
경기도 남양주시,424.0,706069,458.129781,13.3,6.005078823741023,0.9255019376267094,0.3204823316972707,0.05317597600495356,0.8503184713375795,0,0.623,False
경기도 오산시,120.0,227550,42.691585,9.0,5.273566249176005,2.8108583928191,0.27139737527615965,0.16272404896218934,0.9872611464968153,0,0.722,False
경기도 시흥시,298.0,478464,139.93638,8.8,6.2282637774210805,2.1295391520060756,0.3354581832494433,0.12313619824345756,0.9936305732484076,0,0.731,False
경기도 군포시,153.0,275954,36.418523,12.3,5.544402327924219,4.201158844360602,0.28957064745883637,0.2435070408884585,0.8821656050955413,0,0.67,False
경기도 의왕시,74.0,164701,54.031241,13.0,4.492990327927577,1.369578018761405,0.21902023726095765,0.07897888388517336,0.8598726114649682,0,0.615,False
경기도 하남시,240.0,279621,92.985348,12.4,8.583046337721417,2.5810518018387154,0.49346558240080396,0.14937120572374515,0.8789808917197452,0,0.688,False
경기도 파주시,255.0,455262,673.955434,13.4,5.601170315115252,0.3783632969416788,0.2933798153040275,0.02138464892597412,0.8471337579617835,0,0.61,False
경기도 이천시,144.0,216844,461.464932,13.6,6.64071867333198,0.31204971388811836,0.3631341676349461,0.01753151801568912,0.8407643312101911,0,0.618,False
경기도 안성시,114.0,184211,553.508059,16.8,6.188555515142961,0.20595906084178622,0.3327937337358604,0.011367152349985645,0.7388535031847133,0,0.544,False
경기도 김포시,286.0,445425,276.59641,12.0,6.420834034910478,1.0339975128382903,0.3483797693240092,0.05948007895380558,0.89171974522293,0,0.656,False
경기도 화성시,519.0,831888,700.641505,8.6,6.238820610466794,0.7407497219280493,0.3361665534238069,0.04244100376740792,1.0,0,0.722,False
경기도 광주시,183.0,375561,430.988339,12.5,4.872710425203895,0.4246054555086234,0.2444996959539421,0.024071535719418585,0.8757961783439491,0,0.621,False
경기도 양주시,126.0,224524,310.487152,15.2,5.611872227467888,0.4058138933877689,0.2940979203916455,0.022979657622559855,0.7898089171974523,0,0.573,False
경기도 포천시,92.0,148144,827.16575,18.8,6.210173884868776,0.11122317383184688,0.33424434001767045,0.005862551968847508,0.6751592356687898,0,0.502,True
경기도 여주시,74.0,111198,608.207926,20.9,6.654795949567438,0.12166891754712186,0.364078761773955,0.006469498783314357,0.60828025477707,1,0.463,True
경기도 연천군,29.0,43618,677.938351,25.2,6.648631299004998,0.04277675094973348,0.3636651098221909,0.0018854930382133956,0.4713375796178343,1,0.373,True
경기도 가평군,50.0,62397,842.821967,24.9,8.013205763097584,0.05932450975141705,0.45522891943021326,0.002846995614287578,0.48089171974522305,1,0.395,True
경기도 양평군,77.0,117301,877.819527,24.5,6.564308914672509,0.08771734693935557,0.35800702450117566,0.004496752927373398,0.49363057324840764,1,0.387,True
충청북도 충주시,164.0,210188,983.257128,19.0,7.80253867965821,0.16679258693357776,0.4410930248885055,0.009091396097443864,0.6687898089171974,1,0.517,False
충청북도 제천시,107.0,133638,882.770986,20.8,8.006704679806642,0.1212092396521061,0.45479269262957944,0.006442789336704763,0.6114649681528662,0,0.481,True
충청북도 보은군,39.0,32699,584.262404,33.3,11.92697024373834,0.06675082930716864,0.7178449914628466,0.0032784996910135912,0.213375796178344,1,0.266,True
충청북도 옥천군,54.0,50778,537.283279,28.6,10.634526763559021,0.10050564034024219,0.6311212164968807,0.00523981289071381,0.36305732484076425,1,0.349,True
충청북도 영동군,54.0,47963,846.906529,30.2,11.258678564726976,0.06376146381084281,0.6730021971194003,0.003104803502907917,0.3121019108280254,1,0.323,True
충청북도 증평군,25.0,37320,81.802888,16.5,6.698821007502679,0.3056126820363604,0.3670328710064219,0.01715749620512785,0.7484076433121019,0,0.558,False
충청북도 진천군,56.0,81483,407.384402,16.1,6.872599192469594,0.13746230765114076,0.3786934971291006,0.007387168991827047,0.7611464968152866,1,0.566,False
충청북도 괴산군,41.0,37694,842.010689,32.6,10.877062662492703,0.04869296855208925,0.6473955287146765,0.002229253092578084,0.23566878980891715,1,0.268,True
충청북도 음성군,76.0,94461,520.122614,20.2,8.045648468680197,0.14611939176326605,0.45740584549420116,0.007890186275004542,0.6305732484076433,1,0.495,True
충청북도 단양군,29.0,29451,780.153233,29.3,9.846864283046415,0.03717218460850755,0.5782685658729383,0.0015598413871681113,0.340764331210191,1,0.325,True
충청남도 공주시,95.0,105743,864.163705,25.0,8.984046225282052,0.10993287435046811,0.520372928480929,0.005787579503384291,0.47770700636942676,1,0.405,True
충청남도 보령시,87.0,100646,586.861162,24.9,8.644158734574647,0.148246307020058,0.4975662628820851,0.008013770049883403,0.48089171974522305,1,0.403,True
충청남도 아산시,201.0,313757,542.798394,12.8,6.4062315741162745,0.37030323269526844,0.3473999349689393,0.020916321303537506,0.8662420382165604,0,0.632,False
